transaction_id,amount,transaction_type,location,time_of_day,is_fraud
1,375.16557872851513,online,IN,afternoon,0
2,950.7635921035062,in-person,CA,afternoon,0
3,732.2619478695937,in-person,US,night,0
4,599.0598257128396,in-person,IN,morning,1
5,156.8626218019941,online,US,morning,0
6,156.83852581586643,in-person,IN,evening,0
7,59.02552855603126,in-person,IN,night,0
8,866.3099696291603,online,CA,evening,0
9,601.5138967314656,online,UK,afternoon,0
10,708.3645052182494,online,UK,morning,0
11,21.563909801506643,online,CA,evening,0
12,969.9399423098323,in-person,IN,evening,0
13,832.6101981596213,online,UK,morning,0
14,213.12677156759787,in-person,UK,afternoon,0
15,182.6431422398935,online,UK,evening,0
16,184.22110534358038,online,CA,evening,0
17,304.9380007165782,in-person,US,night,0
18,525.2316752006057,in-person,US,night,0
19,432.51307362347364,in-person,US,morning,0
20,291.93791105784385,online,US,morning,0
21,612.2410418276571,online,US,afternoon,0
22,140.3543667913898,in-person,UK,afternoon,0
23,292.85250388668294,in-person,UK,evening,0
24,366.995481450398,online,IN,night,0
25,456.6139142328189,in-person,UK,afternoon,0
26,785.3907854316205,in-person,CA,evening,0
27,200.47410837620137,online,IN,evening,0
28,514.720203975198,in-person,UK,morning,0
29,592.8221542931805,online,IN,night,0
30,47.40396230727773,online,IN,evening,0
31,607.9373070495369,online,US,morning,0
32,171.35359956360423,in-person,IN,evening,0
33,65.98654139229424,in-person,UK,night,0
34,948.93665171608,in-person,US,evening,0
35,965.6664010414848,in-person,UK,evening,0
36,808.5889507683447,online,US,afternoon,0
37,305.3091554041973,online,UK,afternoon,0
38,98.5744418923775,in-person,US,morning,0
39,684.5487934856448,in-person,US,evening,0
40,440.7123412458617,in-person,CA,morning,0
41,122.91619660993405,in-person,UK,night,1
42,495.6817332011589,online,IN,morning,0
43,35.35413259410318,in-person,US,evening,0
44,909.4110816767032,online,UK,afternoon,0
45,259.5212016184169,in-person,US,afternoon,0
46,662.859762069628,in-person,CA,morning,0
47,312.3993650133215,in-person,CA,afternoon,0
48,520.547953156633,online,CA,evening,0
49,547.1635690639364,in-person,CA,evening,0
50,185.6696010700015,online,IN,night,0
51,969.615043136794,online,IN,afternoon,0
52,775.3576905377535,in-person,US,afternoon,0
53,939.5594426226249,online,UK,night,0
54,894.9325230772212,online,CA,morning,0
